DATE,SPCS20RSA
2014-10-01,172.402949737201
2014-11-01,173.170594187441
2014-12-01,174.19975019289902
2015-01-01,175.037981668348
2015-02-01,176.283649252895
2015-03-01,176.957711051227
2015-04-01,177.738427256931
2015-05-01,178.28390089808997
2015-06-01,178.850176664246
2015-07-01,179.39255469045298
2015-08-01,180.037720585984
2015-09-01,180.919363561507
2015-10-01,181.906215547177
2015-11-01,182.991200858045
2015-12-01,183.817750954127
2016-01-01,184.643447275593
2016-02-01,185.31744538127103
2016-03-01,186.083416210098
2016-04-01,186.967124663629
2016-05-01,187.459071213367
2016-06-01,188.123556895822
2016-07-01,188.789423095573
2016-08-01,189.63667208332402
2016-09-01,190.37195695255298
2016-10-01,191.22876500647098
2016-11-01,192.413072223558
2016-12-01,193.67409820839802
2017-01-01,194.91752153313098
2017-02-01,195.79221850392602
2017-03-01,196.570963693152
2017-04-01,197.36083389444698
2017-05-01,198.154733417244
2017-06-01,198.91859313920102
2017-07-01,200.068167456219
2017-08-01,201.09688368131802
2017-09-01,202.330710579676
2017-10-01,203.38187744596001
2017-11-01,204.58709937361198
2017-12-01,205.69519053108502
2018-01-01,207.10985077100102
2018-02-01,208.591593141861
2018-03-01,209.41876077501098
2018-04-01,210.213147724057
2018-05-01,210.90318500913298
2018-06-01,211.58400986732602
2018-07-01,212.055249656932
2018-08-01,212.52140665336998
2018-09-01,212.951463564906
2018-10-01,213.407866302568
2018-11-01,213.64596257366298
2018-12-01,213.894659457046
2019-01-01,214.03442556450298
2019-02-01,214.278191055822
2019-03-01,214.441521315253
2019-04-01,215.281738032536
2019-05-01,215.84100331346
2019-06-01,216.252972177064
2019-07-01,216.52033840353002
2019-08-01,217.019617690983
2019-09-01,217.495678849591
2019-10-01,218.154277838465
2019-11-01,218.98025531206298
2019-12-01,219.848170303544
2020-01-01,220.624431990406
2020-02-01,221.648542658177
2020-03-01,222.643940402247
2020-04-01,223.52953693332995
2020-05-01,223.564727236175
2020-06-01,223.856300038933
2020-07-01,225.627755411987
2020-08-01,228.80069364995498
2020-09-01,232.152145607106
2020-10-01,235.744762266077
2020-11-01,239.075282901815
2020-12-01,242.112609505396
2021-01-01,245.160619012528
2021-02-01,248.181932654637
2021-03-01,252.14212879926498
